defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,org.columba.core.gui.themes.thincolumba,QUALIFIED_NAME, line no: 1
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,createUI,SIMPLE_NAME, line no: 25
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,c,SIMPLE_NAME, line no: 25
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,new ThinMenuItemUI(),CLASS_INSTANCE_CREATION, line no: 26
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,getPreferredMenuItemSize,SIMPLE_NAME, line no: 29
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,checkIcon,SIMPLE_NAME, line no: 31
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,arrowIcon,SIMPLE_NAME, line no: 32
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,defaultTextIconGap,SIMPLE_NAME, line no: 33
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,b,SIMPLE_NAME, line no: 34
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,(JMenuItem)c,CAST_EXPRESSION, line no: 34
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,icon,SIMPLE_NAME, line no: 35
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,(Icon)b.getIcon(),CAST_EXPRESSION, line no: 35
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,b.getIcon(),METHOD_INVOCATION, line no: 35
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,getIcon,SIMPLE_NAME, line no: 35
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,icon == null,INFIX_EXPRESSION, line no: 37
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,null,NULL_LITERAL, line no: 37
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,b.setIcon(new EmptyIcon()),METHOD_INVOCATION, line no: 38
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,setIcon,SIMPLE_NAME, line no: 38
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,new EmptyIcon(),CLASS_INSTANCE_CREATION, line no: 38
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,d,SIMPLE_NAME, line no: 39
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,super.getPreferredMenuItemSize(c checkIcon arrowIcon defaultTextIconGap - 8),SUPER_METHOD_INVOCATION, line no: 40
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,8,NUMBER_LITERAL, line no: 44
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,paint,SIMPLE_NAME, line no: 49
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,g,SIMPLE_NAME, line no: 49
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,ThinUtilities.enableAntiAliasing(g),METHOD_INVOCATION, line no: 50
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,ThinUtilities,SIMPLE_NAME, line no: 50
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,enableAntiAliasing,SIMPLE_NAME, line no: 50
defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44,super.paint(g c),SUPER_METHOD_INVOCATION, line no: 52
defaultTextIconGap,SIMPLE_NAME, line no: 44,org.columba.core.gui.themes.thincolumba,QUALIFIED_NAME, line no: 1
defaultTextIconGap,SIMPLE_NAME, line no: 44,org.columba.core.gui.themes,QUALIFIED_NAME, line no: 1
defaultTextIconGap,SIMPLE_NAME, line no: 44,org.columba.core.gui,QUALIFIED_NAME, line no: 1
defaultTextIconGap,SIMPLE_NAME, line no: 44,org.columba.core,QUALIFIED_NAME, line no: 1
defaultTextIconGap,SIMPLE_NAME, line no: 44,org.columba,QUALIFIED_NAME, line no: 1
defaultTextIconGap,SIMPLE_NAME, line no: 44,org,SIMPLE_NAME, line no: 1
defaultTextIconGap,SIMPLE_NAME, line no: 44,columba,SIMPLE_NAME, line no: 1
defaultTextIconGap,SIMPLE_NAME, line no: 44,core,SIMPLE_NAME, line no: 1
defaultTextIconGap,SIMPLE_NAME, line no: 44,gui,SIMPLE_NAME, line no: 1
defaultTextIconGap,SIMPLE_NAME, line no: 44,themes,SIMPLE_NAME, line no: 1
defaultTextIconGap,SIMPLE_NAME, line no: 44,thincolumba,SIMPLE_NAME, line no: 1
defaultTextIconGap,SIMPLE_NAME, line no: 44,java.awt.Color,QUALIFIED_NAME, line no: 3
defaultTextIconGap,SIMPLE_NAME, line no: 44,java.awt,QUALIFIED_NAME, line no: 3
defaultTextIconGap,SIMPLE_NAME, line no: 44,java,SIMPLE_NAME, line no: 3
defaultTextIconGap,SIMPLE_NAME, line no: 44,awt,SIMPLE_NAME, line no: 3
defaultTextIconGap,SIMPLE_NAME, line no: 44,Color,SIMPLE_NAME, line no: 3
defaultTextIconGap,SIMPLE_NAME, line no: 44,java.awt.Dimension,QUALIFIED_NAME, line no: 4
defaultTextIconGap,SIMPLE_NAME, line no: 44,Dimension,SIMPLE_NAME, line no: 4
defaultTextIconGap,SIMPLE_NAME, line no: 44,java.awt.Graphics,QUALIFIED_NAME, line no: 5
defaultTextIconGap,SIMPLE_NAME, line no: 44,Graphics,SIMPLE_NAME, line no: 5
defaultTextIconGap,SIMPLE_NAME, line no: 44,javax.swing.Icon,QUALIFIED_NAME, line no: 7
defaultTextIconGap,SIMPLE_NAME, line no: 44,javax.swing,QUALIFIED_NAME, line no: 7
defaultTextIconGap,SIMPLE_NAME, line no: 44,javax,SIMPLE_NAME, line no: 7
defaultTextIconGap,SIMPLE_NAME, line no: 44,swing,SIMPLE_NAME, line no: 7
defaultTextIconGap,SIMPLE_NAME, line no: 44,Icon,SIMPLE_NAME, line no: 7
defaultTextIconGap,SIMPLE_NAME, line no: 44,javax.swing.JComponent,QUALIFIED_NAME, line no: 8
defaultTextIconGap,SIMPLE_NAME, line no: 44,JComponent,SIMPLE_NAME, line no: 8
defaultTextIconGap,SIMPLE_NAME, line no: 44,javax.swing.JMenuItem,QUALIFIED_NAME, line no: 9
defaultTextIconGap,SIMPLE_NAME, line no: 44,JMenuItem,SIMPLE_NAME, line no: 9
defaultTextIconGap,SIMPLE_NAME, line no: 44,javax.swing.plaf.ComponentUI,QUALIFIED_NAME, line no: 10
defaultTextIconGap,SIMPLE_NAME, line no: 44,javax.swing.plaf,QUALIFIED_NAME, line no: 10
defaultTextIconGap,SIMPLE_NAME, line no: 44,plaf,SIMPLE_NAME, line no: 10
defaultTextIconGap,SIMPLE_NAME, line no: 44,ComponentUI,SIMPLE_NAME, line no: 10
defaultTextIconGap,SIMPLE_NAME, line no: 44,javax.swing.plaf.basic.BasicMenuItemUI,QUALIFIED_NAME, line no: 11
defaultTextIconGap,SIMPLE_NAME, line no: 44,javax.swing.plaf.basic,QUALIFIED_NAME, line no: 11
defaultTextIconGap,SIMPLE_NAME, line no: 44,basic,SIMPLE_NAME, line no: 11
defaultTextIconGap,SIMPLE_NAME, line no: 44,BasicMenuItemUI,SIMPLE_NAME, line no: 11
defaultTextIconGap,SIMPLE_NAME, line no: 44,org.columba.core.gui.util.EmptyIcon,QUALIFIED_NAME, line no: 13
defaultTextIconGap,SIMPLE_NAME, line no: 44,org.columba.core.gui.util,QUALIFIED_NAME, line no: 13
defaultTextIconGap,SIMPLE_NAME, line no: 44,util,SIMPLE_NAME, line no: 13
defaultTextIconGap,SIMPLE_NAME, line no: 44,EmptyIcon,SIMPLE_NAME, line no: 13
defaultTextIconGap,SIMPLE_NAME, line no: 44,ThinMenuItemUI,SIMPLE_NAME, line no: 23
defaultTextIconGap,SIMPLE_NAME, line no: 44,createUI,SIMPLE_NAME, line no: 25
defaultTextIconGap,SIMPLE_NAME, line no: 44,c,SIMPLE_NAME, line no: 25
defaultTextIconGap,SIMPLE_NAME, line no: 44,new ThinMenuItemUI(),CLASS_INSTANCE_CREATION, line no: 26
defaultTextIconGap,SIMPLE_NAME, line no: 44,getPreferredMenuItemSize,SIMPLE_NAME, line no: 29
defaultTextIconGap,SIMPLE_NAME, line no: 44,checkIcon,SIMPLE_NAME, line no: 31
defaultTextIconGap,SIMPLE_NAME, line no: 44,arrowIcon,SIMPLE_NAME, line no: 32
defaultTextIconGap,SIMPLE_NAME, line no: 44,b,SIMPLE_NAME, line no: 34
defaultTextIconGap,SIMPLE_NAME, line no: 44,(JMenuItem)c,CAST_EXPRESSION, line no: 34
defaultTextIconGap,SIMPLE_NAME, line no: 44,icon,SIMPLE_NAME, line no: 35
defaultTextIconGap,SIMPLE_NAME, line no: 44,(Icon)b.getIcon(),CAST_EXPRESSION, line no: 35
defaultTextIconGap,SIMPLE_NAME, line no: 44,b.getIcon(),METHOD_INVOCATION, line no: 35
defaultTextIconGap,SIMPLE_NAME, line no: 44,getIcon,SIMPLE_NAME, line no: 35
defaultTextIconGap,SIMPLE_NAME, line no: 44,icon == null,INFIX_EXPRESSION, line no: 37
defaultTextIconGap,SIMPLE_NAME, line no: 44,null,NULL_LITERAL, line no: 37
defaultTextIconGap,SIMPLE_NAME, line no: 44,b.setIcon(new EmptyIcon()),METHOD_INVOCATION, line no: 38
defaultTextIconGap,SIMPLE_NAME, line no: 44,setIcon,SIMPLE_NAME, line no: 38
defaultTextIconGap,SIMPLE_NAME, line no: 44,new EmptyIcon(),CLASS_INSTANCE_CREATION, line no: 38
defaultTextIconGap,SIMPLE_NAME, line no: 44,d,SIMPLE_NAME, line no: 39
defaultTextIconGap,SIMPLE_NAME, line no: 44,super.getPreferredMenuItemSize(c checkIcon arrowIcon defaultTextIconGap - 8),SUPER_METHOD_INVOCATION, line no: 40
defaultTextIconGap,SIMPLE_NAME, line no: 44,defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44
defaultTextIconGap,SIMPLE_NAME, line no: 44,8,NUMBER_LITERAL, line no: 44
defaultTextIconGap,SIMPLE_NAME, line no: 44,paint,SIMPLE_NAME, line no: 49
defaultTextIconGap,SIMPLE_NAME, line no: 44,g,SIMPLE_NAME, line no: 49
defaultTextIconGap,SIMPLE_NAME, line no: 44,ThinUtilities.enableAntiAliasing(g),METHOD_INVOCATION, line no: 50
defaultTextIconGap,SIMPLE_NAME, line no: 44,ThinUtilities,SIMPLE_NAME, line no: 50
defaultTextIconGap,SIMPLE_NAME, line no: 44,enableAntiAliasing,SIMPLE_NAME, line no: 50
defaultTextIconGap,SIMPLE_NAME, line no: 44,super.paint(g c),SUPER_METHOD_INVOCATION, line no: 52
8,NUMBER_LITERAL, line no: 44,org.columba.core.gui.themes.thincolumba,QUALIFIED_NAME, line no: 1
8,NUMBER_LITERAL, line no: 44,org.columba.core.gui.themes,QUALIFIED_NAME, line no: 1
8,NUMBER_LITERAL, line no: 44,org.columba.core.gui,QUALIFIED_NAME, line no: 1
8,NUMBER_LITERAL, line no: 44,org.columba.core,QUALIFIED_NAME, line no: 1
8,NUMBER_LITERAL, line no: 44,org.columba,QUALIFIED_NAME, line no: 1
8,NUMBER_LITERAL, line no: 44,org,SIMPLE_NAME, line no: 1
8,NUMBER_LITERAL, line no: 44,columba,SIMPLE_NAME, line no: 1
8,NUMBER_LITERAL, line no: 44,core,SIMPLE_NAME, line no: 1
8,NUMBER_LITERAL, line no: 44,gui,SIMPLE_NAME, line no: 1
8,NUMBER_LITERAL, line no: 44,themes,SIMPLE_NAME, line no: 1
8,NUMBER_LITERAL, line no: 44,thincolumba,SIMPLE_NAME, line no: 1
8,NUMBER_LITERAL, line no: 44,java.awt.Color,QUALIFIED_NAME, line no: 3
8,NUMBER_LITERAL, line no: 44,java.awt,QUALIFIED_NAME, line no: 3
8,NUMBER_LITERAL, line no: 44,java,SIMPLE_NAME, line no: 3
8,NUMBER_LITERAL, line no: 44,awt,SIMPLE_NAME, line no: 3
8,NUMBER_LITERAL, line no: 44,Color,SIMPLE_NAME, line no: 3
8,NUMBER_LITERAL, line no: 44,java.awt.Dimension,QUALIFIED_NAME, line no: 4
8,NUMBER_LITERAL, line no: 44,Dimension,SIMPLE_NAME, line no: 4
8,NUMBER_LITERAL, line no: 44,java.awt.Graphics,QUALIFIED_NAME, line no: 5
8,NUMBER_LITERAL, line no: 44,Graphics,SIMPLE_NAME, line no: 5
8,NUMBER_LITERAL, line no: 44,javax.swing.Icon,QUALIFIED_NAME, line no: 7
8,NUMBER_LITERAL, line no: 44,javax.swing,QUALIFIED_NAME, line no: 7
8,NUMBER_LITERAL, line no: 44,javax,SIMPLE_NAME, line no: 7
8,NUMBER_LITERAL, line no: 44,swing,SIMPLE_NAME, line no: 7
8,NUMBER_LITERAL, line no: 44,Icon,SIMPLE_NAME, line no: 7
8,NUMBER_LITERAL, line no: 44,javax.swing.JComponent,QUALIFIED_NAME, line no: 8
8,NUMBER_LITERAL, line no: 44,JComponent,SIMPLE_NAME, line no: 8
8,NUMBER_LITERAL, line no: 44,javax.swing.JMenuItem,QUALIFIED_NAME, line no: 9
8,NUMBER_LITERAL, line no: 44,JMenuItem,SIMPLE_NAME, line no: 9
8,NUMBER_LITERAL, line no: 44,javax.swing.plaf.ComponentUI,QUALIFIED_NAME, line no: 10
8,NUMBER_LITERAL, line no: 44,javax.swing.plaf,QUALIFIED_NAME, line no: 10
8,NUMBER_LITERAL, line no: 44,plaf,SIMPLE_NAME, line no: 10
8,NUMBER_LITERAL, line no: 44,ComponentUI,SIMPLE_NAME, line no: 10
8,NUMBER_LITERAL, line no: 44,javax.swing.plaf.basic.BasicMenuItemUI,QUALIFIED_NAME, line no: 11
8,NUMBER_LITERAL, line no: 44,javax.swing.plaf.basic,QUALIFIED_NAME, line no: 11
8,NUMBER_LITERAL, line no: 44,basic,SIMPLE_NAME, line no: 11
8,NUMBER_LITERAL, line no: 44,BasicMenuItemUI,SIMPLE_NAME, line no: 11
8,NUMBER_LITERAL, line no: 44,org.columba.core.gui.util.EmptyIcon,QUALIFIED_NAME, line no: 13
8,NUMBER_LITERAL, line no: 44,org.columba.core.gui.util,QUALIFIED_NAME, line no: 13
8,NUMBER_LITERAL, line no: 44,util,SIMPLE_NAME, line no: 13
8,NUMBER_LITERAL, line no: 44,EmptyIcon,SIMPLE_NAME, line no: 13
8,NUMBER_LITERAL, line no: 44,ThinMenuItemUI,SIMPLE_NAME, line no: 23
8,NUMBER_LITERAL, line no: 44,createUI,SIMPLE_NAME, line no: 25
8,NUMBER_LITERAL, line no: 44,c,SIMPLE_NAME, line no: 25
8,NUMBER_LITERAL, line no: 44,new ThinMenuItemUI(),CLASS_INSTANCE_CREATION, line no: 26
8,NUMBER_LITERAL, line no: 44,getPreferredMenuItemSize,SIMPLE_NAME, line no: 29
8,NUMBER_LITERAL, line no: 44,checkIcon,SIMPLE_NAME, line no: 31
8,NUMBER_LITERAL, line no: 44,arrowIcon,SIMPLE_NAME, line no: 32
8,NUMBER_LITERAL, line no: 44,defaultTextIconGap,SIMPLE_NAME, line no: 33
8,NUMBER_LITERAL, line no: 44,b,SIMPLE_NAME, line no: 34
8,NUMBER_LITERAL, line no: 44,(JMenuItem)c,CAST_EXPRESSION, line no: 34
8,NUMBER_LITERAL, line no: 44,icon,SIMPLE_NAME, line no: 35
8,NUMBER_LITERAL, line no: 44,(Icon)b.getIcon(),CAST_EXPRESSION, line no: 35
8,NUMBER_LITERAL, line no: 44,b.getIcon(),METHOD_INVOCATION, line no: 35
8,NUMBER_LITERAL, line no: 44,getIcon,SIMPLE_NAME, line no: 35
8,NUMBER_LITERAL, line no: 44,icon == null,INFIX_EXPRESSION, line no: 37
8,NUMBER_LITERAL, line no: 44,null,NULL_LITERAL, line no: 37
8,NUMBER_LITERAL, line no: 44,b.setIcon(new EmptyIcon()),METHOD_INVOCATION, line no: 38
8,NUMBER_LITERAL, line no: 44,setIcon,SIMPLE_NAME, line no: 38
8,NUMBER_LITERAL, line no: 44,new EmptyIcon(),CLASS_INSTANCE_CREATION, line no: 38
8,NUMBER_LITERAL, line no: 44,d,SIMPLE_NAME, line no: 39
8,NUMBER_LITERAL, line no: 44,super.getPreferredMenuItemSize(c checkIcon arrowIcon defaultTextIconGap - 8),SUPER_METHOD_INVOCATION, line no: 40
8,NUMBER_LITERAL, line no: 44,defaultTextIconGap - 8,INFIX_EXPRESSION, line no: 44
8,NUMBER_LITERAL, line no: 44,paint,SIMPLE_NAME, line no: 49
8,NUMBER_LITERAL, line no: 44,g,SIMPLE_NAME, line no: 49
8,NUMBER_LITERAL, line no: 44,ThinUtilities.enableAntiAliasing(g),METHOD_INVOCATION, line no: 50
8,NUMBER_LITERAL, line no: 44,ThinUtilities,SIMPLE_NAME, line no: 50
8,NUMBER_LITERAL, line no: 44,enableAntiAliasing,SIMPLE_NAME, line no: 50
8,NUMBER_LITERAL, line no: 44,super.paint(g c),SUPER_METHOD_INVOCATION, line no: 52
