T,SIMPLE_NAME, line no: 618,HashMap,SIMPLE_NAME, line no: 24
T,SIMPLE_NAME, line no: 618,java.util.List,QUALIFIED_NAME, line no: 25
T,SIMPLE_NAME, line no: 618,List,SIMPLE_NAME, line no: 25
T,SIMPLE_NAME, line no: 618,java.util.Locale,QUALIFIED_NAME, line no: 26
T,SIMPLE_NAME, line no: 618,Locale,SIMPLE_NAME, line no: 26
T,SIMPLE_NAME, line no: 618,java.util.Map,QUALIFIED_NAME, line no: 27
T,SIMPLE_NAME, line no: 618,Map,SIMPLE_NAME, line no: 27
T,SIMPLE_NAME, line no: 618,java.util.Vector,QUALIFIED_NAME, line no: 28
T,SIMPLE_NAME, line no: 618,Vector,SIMPLE_NAME, line no: 28
T,SIMPLE_NAME, line no: 618,org.apache.wicket.ConverterLocator,QUALIFIED_NAME, line no: 30
T,SIMPLE_NAME, line no: 618,ConverterLocator,SIMPLE_NAME, line no: 30
T,SIMPLE_NAME, line no: 618,org.apache.wicket.IConverterLocator,QUALIFIED_NAME, line no: 31
T,SIMPLE_NAME, line no: 618,IConverterLocator,SIMPLE_NAME, line no: 31
T,SIMPLE_NAME, line no: 618,org.apache.wicket.WicketRuntimeException,QUALIFIED_NAME, line no: 32
T,SIMPLE_NAME, line no: 618,WicketRuntimeException,SIMPLE_NAME, line no: 32
T,SIMPLE_NAME, line no: 618,org.apache.wicket.WicketTestCase,QUALIFIED_NAME, line no: 33
T,SIMPLE_NAME, line no: 618,WicketTestCase,SIMPLE_NAME, line no: 33
T,SIMPLE_NAME, line no: 618,org.apache.wicket.util.convert.ConversionException,QUALIFIED_NAME, line no: 34
T,SIMPLE_NAME, line no: 618,org.apache.wicket.util.convert,QUALIFIED_NAME, line no: 34
T,SIMPLE_NAME, line no: 618,convert,SIMPLE_NAME, line no: 34
T,SIMPLE_NAME, line no: 618,ConversionException,SIMPLE_NAME, line no: 34
T,SIMPLE_NAME, line no: 618,org.apache.wicket.util.convert.IConverter,QUALIFIED_NAME, line no: 35
T,SIMPLE_NAME, line no: 618,IConverter,SIMPLE_NAME, line no: 35
T,SIMPLE_NAME, line no: 618,org.apache.wicket.util.convert.converter.AbstractConverter,QUALIFIED_NAME, line no: 36
T,SIMPLE_NAME, line no: 618,org.apache.wicket.util.convert.converter,QUALIFIED_NAME, line no: 36
T,SIMPLE_NAME, line no: 618,converter,SIMPLE_NAME, line no: 36
T,SIMPLE_NAME, line no: 618,AbstractConverter,SIMPLE_NAME, line no: 36
T,SIMPLE_NAME, line no: 618,PropertyResolverTest,SIMPLE_NAME, line no: 42
T,SIMPLE_NAME, line no: 618,PropertyResolverConverter,SIMPLE_NAME, line no: 44
T,SIMPLE_NAME, line no: 618,CONVERTER,SIMPLE_NAME, line no: 44
T,SIMPLE_NAME, line no: 618,new PropertyResolverConverter(new ConverterLocator() Locale.US),CLASS_INSTANCE_CREATION, line no: 44
T,SIMPLE_NAME, line no: 618,new ConverterLocator(),CLASS_INSTANCE_CREATION, line no: 45
T,SIMPLE_NAME, line no: 618,Locale.US,QUALIFIED_NAME, line no: 45
T,SIMPLE_NAME, line no: 618,US,SIMPLE_NAME, line no: 45
T,SIMPLE_NAME, line no: 618,Person,SIMPLE_NAME, line no: 47
T,SIMPLE_NAME, line no: 618,person,SIMPLE_NAME, line no: 47
T,SIMPLE_NAME, line no: 618,@Override,, line no: 52
T,SIMPLE_NAME, line no: 618,Override,SIMPLE_NAME, line no: 52
T,SIMPLE_NAME, line no: 618,setUp,SIMPLE_NAME, line no: 53
T,SIMPLE_NAME, line no: 618,Exception,SIMPLE_NAME, line no: 53
T,SIMPLE_NAME, line no: 618,super.setUp(),SUPER_METHOD_INVOCATION, line no: 55
T,SIMPLE_NAME, line no: 618,person=new Person(),ASSIGNMENT, line no: 56
T,SIMPLE_NAME, line no: 618,new Person(),CLASS_INSTANCE_CREATION, line no: 56
T,SIMPLE_NAME, line no: 618,tearDown,SIMPLE_NAME, line no: 60
T,SIMPLE_NAME, line no: 618,PropertyResolver.destroy(tester.getApplication()),METHOD_INVOCATION, line no: 62
T,SIMPLE_NAME, line no: 618,PropertyResolver,SIMPLE_NAME, line no: 62
T,SIMPLE_NAME, line no: 618,destroy,SIMPLE_NAME, line no: 62
T,SIMPLE_NAME, line no: 618,tester.getApplication(),METHOD_INVOCATION, line no: 62
T,SIMPLE_NAME, line no: 618,tester,SIMPLE_NAME, line no: 62
T,SIMPLE_NAME, line no: 618,getApplication,SIMPLE_NAME, line no: 62
T,SIMPLE_NAME, line no: 618,super.tearDown(),SUPER_METHOD_INVOCATION, line no: 63
T,SIMPLE_NAME, line no: 618,testSimpleExpression,SIMPLE_NAME, line no: 69
T,SIMPLE_NAME, line no: 618,String,SIMPLE_NAME, line no: 71
T,SIMPLE_NAME, line no: 618,name,SIMPLE_NAME, line no: 71
T,SIMPLE_NAME, line no: 618,(String)PropertyResolver.getValue("name" person),CAST_EXPRESSION, line no: 71
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("name" person),METHOD_INVOCATION, line no: 71
T,SIMPLE_NAME, line no: 618,getValue,SIMPLE_NAME, line no: 71
T,SIMPLE_NAME, line no: 618,"name",STRING_LITERAL, line no: 71
T,SIMPLE_NAME, line no: 618,assertNull(name),METHOD_INVOCATION, line no: 72
T,SIMPLE_NAME, line no: 618,assertNull,SIMPLE_NAME, line no: 72
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("name" person "wicket" CONVERTER),METHOD_INVOCATION, line no: 74
T,SIMPLE_NAME, line no: 618,setValue,SIMPLE_NAME, line no: 74
T,SIMPLE_NAME, line no: 618,"wicket",STRING_LITERAL, line no: 74
T,SIMPLE_NAME, line no: 618,name=(String)PropertyResolver.getValue("name" person),ASSIGNMENT, line no: 75
T,SIMPLE_NAME, line no: 618,assertEquals(name "wicket"),METHOD_INVOCATION, line no: 76
T,SIMPLE_NAME, line no: 618,assertEquals,SIMPLE_NAME, line no: 76
T,SIMPLE_NAME, line no: 618,testPrimitiveValue,SIMPLE_NAME, line no: 82
T,SIMPLE_NAME, line no: 618,Integer,SIMPLE_NAME, line no: 84
T,SIMPLE_NAME, line no: 618,integer,SIMPLE_NAME, line no: 84
T,SIMPLE_NAME, line no: 618,(Integer)PropertyResolver.getValue("age" person),CAST_EXPRESSION, line no: 84
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("age" person),METHOD_INVOCATION, line no: 84
T,SIMPLE_NAME, line no: 618,"age",STRING_LITERAL, line no: 84
T,SIMPLE_NAME, line no: 618,assertTrue(integer == 0),METHOD_INVOCATION, line no: 85
T,SIMPLE_NAME, line no: 618,assertTrue,SIMPLE_NAME, line no: 85
T,SIMPLE_NAME, line no: 618,integer == 0,INFIX_EXPRESSION, line no: 85
T,SIMPLE_NAME, line no: 618,0,NUMBER_LITERAL, line no: 85
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("age" person 10 CONVERTER),METHOD_INVOCATION, line no: 87
T,SIMPLE_NAME, line no: 618,10,NUMBER_LITERAL, line no: 87
T,SIMPLE_NAME, line no: 618,integer=(Integer)PropertyResolver.getValue("age" person),ASSIGNMENT, line no: 88
T,SIMPLE_NAME, line no: 618,assertTrue(integer == 10),METHOD_INVOCATION, line no: 89
T,SIMPLE_NAME, line no: 618,integer == 10,INFIX_EXPRESSION, line no: 89
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("age" person null CONVERTER),METHOD_INVOCATION, line no: 93
T,SIMPLE_NAME, line no: 618,null,NULL_LITERAL, line no: 93
T,SIMPLE_NAME, line no: 618,fail("primitive type can't be set to null"),METHOD_INVOCATION, line no: 94
T,SIMPLE_NAME, line no: 618,fail,SIMPLE_NAME, line no: 94
T,SIMPLE_NAME, line no: 618,"primitive type can't be set to null",STRING_LITERAL, line no: 94
T,SIMPLE_NAME, line no: 618,ce,SIMPLE_NAME, line no: 96
T,SIMPLE_NAME, line no: 618,testPathExpression,SIMPLE_NAME, line no: 105
T,SIMPLE_NAME, line no: 618,person.setAddress(new Address()),METHOD_INVOCATION, line no: 107
T,SIMPLE_NAME, line no: 618,setAddress,SIMPLE_NAME, line no: 107
T,SIMPLE_NAME, line no: 618,new Address(),CLASS_INSTANCE_CREATION, line no: 107
T,SIMPLE_NAME, line no: 618,Address,SIMPLE_NAME, line no: 107
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("address.street" person "wicket-street" CONVERTER),METHOD_INVOCATION, line no: 108
T,SIMPLE_NAME, line no: 618,"address.street",STRING_LITERAL, line no: 108
T,SIMPLE_NAME, line no: 618,"wicket-street",STRING_LITERAL, line no: 108
T,SIMPLE_NAME, line no: 618,street,SIMPLE_NAME, line no: 109
T,SIMPLE_NAME, line no: 618,(String)PropertyResolver.getValue("address.street" person),CAST_EXPRESSION, line no: 109
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("address.street" person),METHOD_INVOCATION, line no: 109
T,SIMPLE_NAME, line no: 618,assertEquals(street "wicket-street"),METHOD_INVOCATION, line no: 110
T,SIMPLE_NAME, line no: 618,testNull,SIMPLE_NAME, line no: 117
T,SIMPLE_NAME, line no: 618,assertNull(street),METHOD_INVOCATION, line no: 120
T,SIMPLE_NAME, line no: 618,testNullCreation,SIMPLE_NAME, line no: 126
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("country.name" person "US" CONVERTER),METHOD_INVOCATION, line no: 134
T,SIMPLE_NAME, line no: 618,"country.name",STRING_LITERAL, line no: 134
T,SIMPLE_NAME, line no: 618,"US",STRING_LITERAL, line no: 134
T,SIMPLE_NAME, line no: 618,new Exception("name can't be set on a country that doesn't have default constructor"),CLASS_INSTANCE_CREATION, line no: 135
T,SIMPLE_NAME, line no: 618,"name can't be set on a country that doesn't have default constructor",STRING_LITERAL, line no: 136
T,SIMPLE_NAME, line no: 618,ex,SIMPLE_NAME, line no: 138
T,SIMPLE_NAME, line no: 618,testGetterOnly,SIMPLE_NAME, line no: 146
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("country" person new Country("US") CONVERTER),METHOD_INVOCATION, line no: 148
T,SIMPLE_NAME, line no: 618,"country",STRING_LITERAL, line no: 148
T,SIMPLE_NAME, line no: 618,new Country("US"),CLASS_INSTANCE_CREATION, line no: 148
T,SIMPLE_NAME, line no: 618,Country,SIMPLE_NAME, line no: 148
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("country.name" person),METHOD_INVOCATION, line no: 149
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("country.name" person "NL" CONVERTER),METHOD_INVOCATION, line no: 153
T,SIMPLE_NAME, line no: 618,"NL",STRING_LITERAL, line no: 153
T,SIMPLE_NAME, line no: 618,testPathExpressionWithConversion,SIMPLE_NAME, line no: 163
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("address.number" person "10" CONVERTER),METHOD_INVOCATION, line no: 166
T,SIMPLE_NAME, line no: 618,"address.number",STRING_LITERAL, line no: 166
T,SIMPLE_NAME, line no: 618,"10",STRING_LITERAL, line no: 166
T,SIMPLE_NAME, line no: 618,number,SIMPLE_NAME, line no: 167
T,SIMPLE_NAME, line no: 618,(Integer)PropertyResolver.getValue("address.number" person),CAST_EXPRESSION, line no: 167
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("address.number" person),METHOD_INVOCATION, line no: 167
T,SIMPLE_NAME, line no: 618,assertEquals(number new Integer(10)),METHOD_INVOCATION, line no: 168
T,SIMPLE_NAME, line no: 618,new Integer(10),CLASS_INSTANCE_CREATION, line no: 168
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("address.number" person "10a" CONVERTER),METHOD_INVOCATION, line no: 172
T,SIMPLE_NAME, line no: 618,"10a",STRING_LITERAL, line no: 172
T,SIMPLE_NAME, line no: 618,new Exception("Conversion error should be thrown"),CLASS_INSTANCE_CREATION, line no: 173
T,SIMPLE_NAME, line no: 618,"Conversion error should be thrown",STRING_LITERAL, line no: 173
T,SIMPLE_NAME, line no: 618,testMapLookup,SIMPLE_NAME, line no: 184
T,SIMPLE_NAME, line no: 618,address,SIMPLE_NAME, line no: 186
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("addressMap" person new HashMap<String Address>() CONVERTER),METHOD_INVOCATION, line no: 187
T,SIMPLE_NAME, line no: 618,"addressMap",STRING_LITERAL, line no: 187
T,SIMPLE_NAME, line no: 618,new HashMap<String Address>(),CLASS_INSTANCE_CREATION, line no: 187
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("addressMap.address" person address CONVERTER),METHOD_INVOCATION, line no: 188
T,SIMPLE_NAME, line no: 618,"addressMap.address",STRING_LITERAL, line no: 188
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("addressMap.address.street" person "wicket-street" CONVERTER),METHOD_INVOCATION, line no: 189
T,SIMPLE_NAME, line no: 618,"addressMap.address.street",STRING_LITERAL, line no: 189
T,SIMPLE_NAME, line no: 618,(String)PropertyResolver.getValue("addressMap.address.street" person),CAST_EXPRESSION, line no: 190
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("addressMap.address.street" person),METHOD_INVOCATION, line no: 190
T,SIMPLE_NAME, line no: 618,testMapWithDotLookup,SIMPLE_NAME, line no: 197
T,SIMPLE_NAME, line no: 618,hm,SIMPLE_NAME, line no: 200
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("addressMap" person hm CONVERTER),METHOD_INVOCATION, line no: 201
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("addressMap[address.test]" person address CONVERTER),METHOD_INVOCATION, line no: 202
T,SIMPLE_NAME, line no: 618,"addressMap[address.test]",STRING_LITERAL, line no: 202
T,SIMPLE_NAME, line no: 618,assertNotNull(hm.get("address.test")),METHOD_INVOCATION, line no: 203
T,SIMPLE_NAME, line no: 618,assertNotNull,SIMPLE_NAME, line no: 203
T,SIMPLE_NAME, line no: 618,hm.get("address.test"),METHOD_INVOCATION, line no: 203
T,SIMPLE_NAME, line no: 618,get,SIMPLE_NAME, line no: 203
T,SIMPLE_NAME, line no: 618,"address.test",STRING_LITERAL, line no: 203
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("addressMap[address.test].street" person "wicket-street" CONVERTER),METHOD_INVOCATION, line no: 204
T,SIMPLE_NAME, line no: 618,"addressMap[address.test].street",STRING_LITERAL, line no: 204
T,SIMPLE_NAME, line no: 618,(String)PropertyResolver.getValue("addressMap[address.test].street" person),CAST_EXPRESSION, line no: 206
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("addressMap[address.test].street" person),METHOD_INVOCATION, line no: 206
T,SIMPLE_NAME, line no: 618,testListLookup,SIMPLE_NAME, line no: 213
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("addressList" person new ArrayList<Address>() CONVERTER),METHOD_INVOCATION, line no: 215
T,SIMPLE_NAME, line no: 618,"addressList",STRING_LITERAL, line no: 215
T,SIMPLE_NAME, line no: 618,new ArrayList<Address>(),CLASS_INSTANCE_CREATION, line no: 215
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("addressList.0" person new Address() CONVERTER),METHOD_INVOCATION, line no: 216
T,SIMPLE_NAME, line no: 618,"addressList.0",STRING_LITERAL, line no: 216
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("addressList.10" person new Address() CONVERTER),METHOD_INVOCATION, line no: 217
T,SIMPLE_NAME, line no: 618,"addressList.10",STRING_LITERAL, line no: 217
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("addressList.1" person new Address() CONVERTER),METHOD_INVOCATION, line no: 218
T,SIMPLE_NAME, line no: 618,"addressList.1",STRING_LITERAL, line no: 218
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("addressList.1.street" person "wicket-street" CONVERTER),METHOD_INVOCATION, line no: 219
T,SIMPLE_NAME, line no: 618,"addressList.1.street",STRING_LITERAL, line no: 219
T,SIMPLE_NAME, line no: 618,(String)PropertyResolver.getValue("addressList.0.street" person),CAST_EXPRESSION, line no: 221
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("addressList.0.street" person),METHOD_INVOCATION, line no: 221
T,SIMPLE_NAME, line no: 618,"addressList.0.street",STRING_LITERAL, line no: 221
T,SIMPLE_NAME, line no: 618,street=(String)PropertyResolver.getValue("addressList.1.street" person),ASSIGNMENT, line no: 223
T,SIMPLE_NAME, line no: 618,(String)PropertyResolver.getValue("addressList.1.street" person),CAST_EXPRESSION, line no: 223
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("addressList.1.street" person),METHOD_INVOCATION, line no: 223
T,SIMPLE_NAME, line no: 618,testArrayLookup,SIMPLE_NAME, line no: 230
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("addressArray" person new Address[]{new Address() null} CONVERTER),METHOD_INVOCATION, line no: 232
T,SIMPLE_NAME, line no: 618,"addressArray",STRING_LITERAL, line no: 232
T,SIMPLE_NAME, line no: 618,new Address[]{new Address() null},ARRAY_CREATION, line no: 232
T,SIMPLE_NAME, line no: 618,{new Address() null},ARRAY_INITIALIZER, line no: 232
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("addressArray.0.street" person "wicket-street" CONVERTER),METHOD_INVOCATION, line no: 234
T,SIMPLE_NAME, line no: 618,"addressArray.0.street",STRING_LITERAL, line no: 234
T,SIMPLE_NAME, line no: 618,(String)PropertyResolver.getValue("addressArray.0.street" person),CAST_EXPRESSION, line no: 235
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("addressArray.0.street" person),METHOD_INVOCATION, line no: 235
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("addressArray.1.street" person "wicket-street" CONVERTER),METHOD_INVOCATION, line no: 238
T,SIMPLE_NAME, line no: 618,"addressArray.1.street",STRING_LITERAL, line no: 238
T,SIMPLE_NAME, line no: 618,street=(String)PropertyResolver.getValue("addressArray.1.street" person),ASSIGNMENT, line no: 239
T,SIMPLE_NAME, line no: 618,(String)PropertyResolver.getValue("addressArray.1.street" person),CAST_EXPRESSION, line no: 239
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("addressArray.1.street" person),METHOD_INVOCATION, line no: 239
T,SIMPLE_NAME, line no: 618,testArrayLookupByBrackets,SIMPLE_NAME, line no: 246
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("addressArray[0].street" person "wicket-street" CONVERTER),METHOD_INVOCATION, line no: 250
T,SIMPLE_NAME, line no: 618,"addressArray[0].street",STRING_LITERAL, line no: 250
T,SIMPLE_NAME, line no: 618,(String)PropertyResolver.getValue("addressArray[0].street" person),CAST_EXPRESSION, line no: 251
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("addressArray[0].street" person),METHOD_INVOCATION, line no: 251
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("addressArray[1].street" person "wicket-street" CONVERTER),METHOD_INVOCATION, line no: 254
T,SIMPLE_NAME, line no: 618,"addressArray[1].street",STRING_LITERAL, line no: 254
T,SIMPLE_NAME, line no: 618,street=(String)PropertyResolver.getValue("addressArray[1].street" person),ASSIGNMENT, line no: 255
T,SIMPLE_NAME, line no: 618,(String)PropertyResolver.getValue("addressArray[1].street" person),CAST_EXPRESSION, line no: 255
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("addressArray[1].street" person),METHOD_INVOCATION, line no: 255
T,SIMPLE_NAME, line no: 618,testPropertyByIndexLookup,SIMPLE_NAME, line no: 262
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("addressAt.0" person new Address() CONVERTER),METHOD_INVOCATION, line no: 264
T,SIMPLE_NAME, line no: 618,"addressAt.0",STRING_LITERAL, line no: 264
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("addressAt.0.street" person "wicket-street" CONVERTER),METHOD_INVOCATION, line no: 265
T,SIMPLE_NAME, line no: 618,"addressAt.0.street",STRING_LITERAL, line no: 265
T,SIMPLE_NAME, line no: 618,(String)PropertyResolver.getValue("addressAt.0.street" person),CAST_EXPRESSION, line no: 266
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("addressAt.0.street" person),METHOD_INVOCATION, line no: 266
T,SIMPLE_NAME, line no: 618,testGetPropertyByNotExistingIndexArrayLookup,SIMPLE_NAME, line no: 273
T,SIMPLE_NAME, line no: 618,PropertyResolver.setValue("addressArray" person new Address[]{} CONVERTER),METHOD_INVOCATION, line no: 275
T,SIMPLE_NAME, line no: 618,new Address[]{},ARRAY_CREATION, line no: 275
T,SIMPLE_NAME, line no: 618,{},ARRAY_INITIALIZER, line no: 275
T,SIMPLE_NAME, line no: 618,street=(String)PropertyResolver.getValue("addressArray[0].street" person),ASSIGNMENT, line no: 278
T,SIMPLE_NAME, line no: 618,testGetPropertyByNotExistingIndexListLookup,SIMPLE_NAME, line no: 285
T,SIMPLE_NAME, line no: 618,street=(String)PropertyResolver.getValue("addressList[0].street" person),ASSIGNMENT, line no: 290
T,SIMPLE_NAME, line no: 618,(String)PropertyResolver.getValue("addressList[0].street" person),CAST_EXPRESSION, line no: 290
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("addressList[0].street" person),METHOD_INVOCATION, line no: 290
T,SIMPLE_NAME, line no: 618,"addressList[0].street",STRING_LITERAL, line no: 290
T,SIMPLE_NAME, line no: 618,testGetIndexPropertyDirectly,SIMPLE_NAME, line no: 297
T,SIMPLE_NAME, line no: 618,addresses,SIMPLE_NAME, line no: 300
T,SIMPLE_NAME, line no: 618,new Address[]{address},ARRAY_CREATION, line no: 300
T,SIMPLE_NAME, line no: 618,{address},ARRAY_INITIALIZER, line no: 300
T,SIMPLE_NAME, line no: 618,address2,SIMPLE_NAME, line no: 302
T,SIMPLE_NAME, line no: 618,(Address)PropertyResolver.getValue("[0]" addresses),CAST_EXPRESSION, line no: 302
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("[0]" addresses),METHOD_INVOCATION, line no: 302
T,SIMPLE_NAME, line no: 618,"[0]",STRING_LITERAL, line no: 302
T,SIMPLE_NAME, line no: 618,assertSame(address address2),METHOD_INVOCATION, line no: 303
T,SIMPLE_NAME, line no: 618,assertSame,SIMPLE_NAME, line no: 303
T,SIMPLE_NAME, line no: 618,testListSizeLookup,SIMPLE_NAME, line no: 309
T,SIMPLE_NAME, line no: 618,addresses.add(new Address()),METHOD_INVOCATION, line no: 312
T,SIMPLE_NAME, line no: 618,add,SIMPLE_NAME, line no: 312
T,SIMPLE_NAME, line no: 618,person.setAddressList(addresses),METHOD_INVOCATION, line no: 314
T,SIMPLE_NAME, line no: 618,setAddressList,SIMPLE_NAME, line no: 314
T,SIMPLE_NAME, line no: 618,Object,SIMPLE_NAME, line no: 315
T,SIMPLE_NAME, line no: 618,size,SIMPLE_NAME, line no: 315
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("addressList.size" person),METHOD_INVOCATION, line no: 315
T,SIMPLE_NAME, line no: 618,"addressList.size",STRING_LITERAL, line no: 315
T,SIMPLE_NAME, line no: 618,assertEquals(size 2),METHOD_INVOCATION, line no: 316
T,SIMPLE_NAME, line no: 618,2,NUMBER_LITERAL, line no: 316
T,SIMPLE_NAME, line no: 618,size=PropertyResolver.getValue("addressList.size()" person),ASSIGNMENT, line no: 317
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("addressList.size()" person),METHOD_INVOCATION, line no: 317
T,SIMPLE_NAME, line no: 618,"addressList.size()",STRING_LITERAL, line no: 317
T,SIMPLE_NAME, line no: 618,testMapSizeLookup,SIMPLE_NAME, line no: 325
T,SIMPLE_NAME, line no: 618,addresses.put("size" address),METHOD_INVOCATION, line no: 329
T,SIMPLE_NAME, line no: 618,put,SIMPLE_NAME, line no: 329
T,SIMPLE_NAME, line no: 618,"size",STRING_LITERAL, line no: 329
T,SIMPLE_NAME, line no: 618,addresses.put("test" new Address()),METHOD_INVOCATION, line no: 330
T,SIMPLE_NAME, line no: 618,"test",STRING_LITERAL, line no: 330
T,SIMPLE_NAME, line no: 618,person.setAddressMap(addresses),METHOD_INVOCATION, line no: 331
T,SIMPLE_NAME, line no: 618,setAddressMap,SIMPLE_NAME, line no: 331
T,SIMPLE_NAME, line no: 618,addressFromMap,SIMPLE_NAME, line no: 332
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("addressMap.size" person),METHOD_INVOCATION, line no: 332
T,SIMPLE_NAME, line no: 618,"addressMap.size",STRING_LITERAL, line no: 332
T,SIMPLE_NAME, line no: 618,assertEquals(addressFromMap address),METHOD_INVOCATION, line no: 333
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("addressMap.size()" person),METHOD_INVOCATION, line no: 334
T,SIMPLE_NAME, line no: 618,"addressMap.size()",STRING_LITERAL, line no: 334
T,SIMPLE_NAME, line no: 618,testArraySizeLookup,SIMPLE_NAME, line no: 341
T,SIMPLE_NAME, line no: 618,person.setAddressArray(new Address[]{new Address() new Address()}),METHOD_INVOCATION, line no: 343
T,SIMPLE_NAME, line no: 618,setAddressArray,SIMPLE_NAME, line no: 343
T,SIMPLE_NAME, line no: 618,new Address[]{new Address() new Address()},ARRAY_CREATION, line no: 343
T,SIMPLE_NAME, line no: 618,{new Address() new Address()},ARRAY_INITIALIZER, line no: 343
T,SIMPLE_NAME, line no: 618,PropertyResolver.getValue("addressArray.length" person),METHOD_INVOCATION, line no: 344
T,SIMPLE_NAME, line no: 618,"addressArray.length",STRING_LITERAL, line no: 344
T,SIMPLE_NAME, line no: 618,size=PropertyResolver.getValue("addressArray.size" person),ASSIGNMENT, line no: 346
