Math.abs(y0 - y1) < 0.00001,INFIX_EXPRESSION, line no: 443,equals,SIMPLE_NAME, line no: 182, 1.0, 0.21705426356589147, 1.0
abs,SIMPLE_NAME, line no: 443,y0 - y1,INFIX_EXPRESSION, line no: 443, 0.9923664122137404, 0.9923664122137404, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443, 0.9923664122137404, 0.9923664122137404, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,abs,SIMPLE_NAME, line no: 443, 0.9923664122137404, 0.9923664122137404, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,Math.abs(y0 - y1) < 0.00001,INFIX_EXPRESSION, line no: 443, 0.9923076923076923, 0.9923076923076923, 1.0
0.00001,NUMBER_LITERAL, line no: 443,y0,SIMPLE_NAME, line no: 438, 0.9923076923076923, 0.9769230769230769, 1.0
0.00001,NUMBER_LITERAL, line no: 443,y1,SIMPLE_NAME, line no: 439, 0.9923076923076923, 0.9769230769230769, 1.0
0.00001,NUMBER_LITERAL, line no: 443,abs,SIMPLE_NAME, line no: 443, 0.9923076923076923, 0.9923076923076923, 1.0
Math.abs(y0 - y1) < 0.00001,INFIX_EXPRESSION, line no: 443,(y0 + y1),PARENTHESIZED_EXPRESSION, line no: 441, 0.9922480620155039, 0.9922480620155039, 1.0
Math.abs(y0 - y1) < 0.00001,INFIX_EXPRESSION, line no: 443,y0 + y1,INFIX_EXPRESSION, line no: 441, 0.9922480620155039, 0.9922480620155039, 1.0
y0,SIMPLE_NAME, line no: 443,x0,SIMPLE_NAME, line no: 436, 0.9848484848484849, 0.9696969696969697, 1.0
y0,SIMPLE_NAME, line no: 443,x1,SIMPLE_NAME, line no: 437, 0.9848484848484849, 0.9696969696969697, 1.0
y0,SIMPLE_NAME, line no: 443,Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443, 0.9848484848484849, 0.9848484848484849, 1.0
y1,SIMPLE_NAME, line no: 443,x0,SIMPLE_NAME, line no: 436, 0.9848484848484849, 0.9696969696969697, 1.0
y1,SIMPLE_NAME, line no: 443,x1,SIMPLE_NAME, line no: 437, 0.9848484848484849, 0.9696969696969697, 1.0
y1,SIMPLE_NAME, line no: 443,Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443, 0.9848484848484849, 0.9848484848484849, 1.0
abs,SIMPLE_NAME, line no: 443,x0,SIMPLE_NAME, line no: 436, 0.9847328244274809, 0.9770992366412213, 1.0
abs,SIMPLE_NAME, line no: 443,x1,SIMPLE_NAME, line no: 437, 0.9847328244274809, 0.9770992366412213, 1.0
abs,SIMPLE_NAME, line no: 443,0.00001,NUMBER_LITERAL, line no: 443, 0.9847328244274809, 0.9847328244274809, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,x0,SIMPLE_NAME, line no: 436, 0.9847328244274809, 0.9694656488549618, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,x1,SIMPLE_NAME, line no: 437, 0.9847328244274809, 0.9694656488549618, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,(y0 + y1),PARENTHESIZED_EXPRESSION, line no: 441, 0.9847328244274809, 0.9847328244274809, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,y0 + y1,INFIX_EXPRESSION, line no: 441, 0.9847328244274809, 0.9847328244274809, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,Math.abs(y0 - y1) < 0.00001,INFIX_EXPRESSION, line no: 443, 0.9847328244274809, 0.9847328244274809, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,x0,SIMPLE_NAME, line no: 436, 0.9846153846153847, 0.9769230769230769, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,x1,SIMPLE_NAME, line no: 437, 0.9846153846153847, 0.9769230769230769, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,(y0 + y1),PARENTHESIZED_EXPRESSION, line no: 441, 0.9846153846153847, 0.9846153846153847, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,y0 + y1,INFIX_EXPRESSION, line no: 441, 0.9846153846153847, 0.9846153846153847, 1.0
0.00001,NUMBER_LITERAL, line no: 443,x0,SIMPLE_NAME, line no: 436, 0.9846153846153847, 0.9769230769230769, 1.0
0.00001,NUMBER_LITERAL, line no: 443,x1,SIMPLE_NAME, line no: 437, 0.9846153846153847, 0.9769230769230769, 1.0
y0,SIMPLE_NAME, line no: 443,(y0 + y1) * (x1 - x0),INFIX_EXPRESSION, line no: 441, 0.9772727272727273, 0.9772727272727273, 1.0
y0,SIMPLE_NAME, line no: 443,(y0 + y1),PARENTHESIZED_EXPRESSION, line no: 441, 0.9772727272727273, 0.9772727272727273, 1.0
y0,SIMPLE_NAME, line no: 443,y0 + y1,INFIX_EXPRESSION, line no: 441, 0.9772727272727273, 0.9772727272727273, 1.0
y0,SIMPLE_NAME, line no: 443,(x1 - x0),PARENTHESIZED_EXPRESSION, line no: 441, 0.9772727272727273, 0.9772727272727273, 1.0
y0,SIMPLE_NAME, line no: 443,x1 - x0,INFIX_EXPRESSION, line no: 441, 0.9772727272727273, 0.9772727272727273, 1.0
y0,SIMPLE_NAME, line no: 443,0.00001,NUMBER_LITERAL, line no: 443, 0.9772727272727273, 0.9772727272727273, 1.0
y1,SIMPLE_NAME, line no: 443,(y0 + y1) * (x1 - x0),INFIX_EXPRESSION, line no: 441, 0.9772727272727273, 0.9772727272727273, 1.0
y1,SIMPLE_NAME, line no: 443,(y0 + y1),PARENTHESIZED_EXPRESSION, line no: 441, 0.9772727272727273, 0.9772727272727273, 1.0
y1,SIMPLE_NAME, line no: 443,y0 + y1,INFIX_EXPRESSION, line no: 441, 0.9772727272727273, 0.9772727272727273, 1.0
y1,SIMPLE_NAME, line no: 443,(x1 - x0),PARENTHESIZED_EXPRESSION, line no: 441, 0.9772727272727273, 0.9772727272727273, 1.0
y1,SIMPLE_NAME, line no: 443,x1 - x0,INFIX_EXPRESSION, line no: 441, 0.9772727272727273, 0.9772727272727273, 1.0
y1,SIMPLE_NAME, line no: 443,0.00001,NUMBER_LITERAL, line no: 443, 0.9772727272727273, 0.9772727272727273, 1.0
abs,SIMPLE_NAME, line no: 443,x,SIMPLE_NAME, line no: 436, 0.9770992366412213, 0.9770992366412213, 1.0
abs,SIMPLE_NAME, line no: 443,y,SIMPLE_NAME, line no: 438, 0.9770992366412213, 0.9770992366412213, 1.0
abs,SIMPLE_NAME, line no: 443,da,SIMPLE_NAME, line no: 441, 0.9770992366412213, 0.9770992366412213, 1.0
abs,SIMPLE_NAME, line no: 443,(y0 + y1) * (x1 - x0) / 2,INFIX_EXPRESSION, line no: 441, 0.9770992366412213, 0.9770992366412213, 1.0
abs,SIMPLE_NAME, line no: 443,(y0 + y1) * (x1 - x0),INFIX_EXPRESSION, line no: 441, 0.9770992366412213, 0.9770992366412213, 1.0
abs,SIMPLE_NAME, line no: 443,(y0 + y1),PARENTHESIZED_EXPRESSION, line no: 441, 0.9770992366412213, 0.9770992366412213, 1.0
abs,SIMPLE_NAME, line no: 443,y0 + y1,INFIX_EXPRESSION, line no: 441, 0.9770992366412213, 0.9770992366412213, 1.0
abs,SIMPLE_NAME, line no: 443,(x1 - x0),PARENTHESIZED_EXPRESSION, line no: 441, 0.9770992366412213, 0.9770992366412213, 1.0
abs,SIMPLE_NAME, line no: 443,x1 - x0,INFIX_EXPRESSION, line no: 441, 0.9770992366412213, 0.9770992366412213, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,x,SIMPLE_NAME, line no: 436, 0.9769230769230769, 0.9769230769230769, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,y,SIMPLE_NAME, line no: 438, 0.9769230769230769, 0.9769230769230769, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,da,SIMPLE_NAME, line no: 441, 0.9769230769230769, 0.9769230769230769, 1.0
0.00001,NUMBER_LITERAL, line no: 443,x,SIMPLE_NAME, line no: 436, 0.9769230769230769, 0.9769230769230769, 1.0
0.00001,NUMBER_LITERAL, line no: 443,y,SIMPLE_NAME, line no: 438, 0.9769230769230769, 0.9769230769230769, 1.0
0.00001,NUMBER_LITERAL, line no: 443,da,SIMPLE_NAME, line no: 441, 0.9769230769230769, 0.9769230769230769, 1.0
y0,SIMPLE_NAME, line no: 443,x,SIMPLE_NAME, line no: 436, 0.9696969696969697, 0.9696969696969697, 1.0
y0,SIMPLE_NAME, line no: 443,y,SIMPLE_NAME, line no: 438, 0.9696969696969697, 0.9696969696969697, 1.0
y0,SIMPLE_NAME, line no: 443,da,SIMPLE_NAME, line no: 441, 0.9696969696969697, 0.9696969696969697, 1.0
y0,SIMPLE_NAME, line no: 443,(y0 + y1) * (x1 - x0) / 2,INFIX_EXPRESSION, line no: 441, 0.9696969696969697, 0.9696969696969697, 1.0
y1,SIMPLE_NAME, line no: 443,x,SIMPLE_NAME, line no: 436, 0.9696969696969697, 0.9696969696969697, 1.0
y1,SIMPLE_NAME, line no: 443,y,SIMPLE_NAME, line no: 438, 0.9696969696969697, 0.9696969696969697, 1.0
y1,SIMPLE_NAME, line no: 443,da,SIMPLE_NAME, line no: 441, 0.9696969696969697, 0.9696969696969697, 1.0
y1,SIMPLE_NAME, line no: 443,(y0 + y1) * (x1 - x0) / 2,INFIX_EXPRESSION, line no: 441, 0.9696969696969697, 0.9696969696969697, 1.0
abs,SIMPLE_NAME, line no: 443,points[i].x,FIELD_ACCESS, line no: 436, 0.9694656488549618, 0.9694656488549618, 1.0
abs,SIMPLE_NAME, line no: 443,points[i + 1].x,FIELD_ACCESS, line no: 437, 0.9694656488549618, 0.9694656488549618, 1.0
abs,SIMPLE_NAME, line no: 443,points[i].y,FIELD_ACCESS, line no: 438, 0.9694656488549618, 0.9694656488549618, 1.0
abs,SIMPLE_NAME, line no: 443,points[i + 1].y,FIELD_ACCESS, line no: 439, 0.9694656488549618, 0.9694656488549618, 1.0
abs,SIMPLE_NAME, line no: 443,finArea+=da,ASSIGNMENT, line no: 442, 0.9694656488549618, 0.9694656488549618, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,x,SIMPLE_NAME, line no: 436, 0.9694656488549618, 0.9694656488549618, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,y,SIMPLE_NAME, line no: 438, 0.9694656488549618, 0.9694656488549618, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,da,SIMPLE_NAME, line no: 441, 0.9694656488549618, 0.9694656488549618, 1.0
y0,SIMPLE_NAME, line no: 443,points[i].x,FIELD_ACCESS, line no: 436, 0.9621212121212122, 0.9621212121212122, 1.0
y0,SIMPLE_NAME, line no: 443,points[i + 1].x,FIELD_ACCESS, line no: 437, 0.9621212121212122, 0.9621212121212122, 1.0
y0,SIMPLE_NAME, line no: 443,points[i].y,FIELD_ACCESS, line no: 438, 0.9621212121212122, 0.9621212121212122, 1.0
y0,SIMPLE_NAME, line no: 443,points[i + 1].y,FIELD_ACCESS, line no: 439, 0.9621212121212122, 0.9621212121212122, 1.0
y0,SIMPLE_NAME, line no: 443,finArea+=da,ASSIGNMENT, line no: 442, 0.9621212121212122, 0.9621212121212122, 1.0
y1,SIMPLE_NAME, line no: 443,points[i].x,FIELD_ACCESS, line no: 436, 0.9621212121212122, 0.9621212121212122, 1.0
y1,SIMPLE_NAME, line no: 443,points[i + 1].x,FIELD_ACCESS, line no: 437, 0.9621212121212122, 0.9621212121212122, 1.0
y1,SIMPLE_NAME, line no: 443,points[i].y,FIELD_ACCESS, line no: 438, 0.9621212121212122, 0.9621212121212122, 1.0
y1,SIMPLE_NAME, line no: 443,points[i + 1].y,FIELD_ACCESS, line no: 439, 0.9621212121212122, 0.9621212121212122, 1.0
y1,SIMPLE_NAME, line no: 443,finArea+=da,ASSIGNMENT, line no: 442, 0.9621212121212122, 0.9621212121212122, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,w2,SIMPLE_NAME, line no: 500, 0.6461538461538462, 0.6153846153846154, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,h2,SIMPLE_NAME, line no: 500, 0.6461538461538462, 0.6153846153846154, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,radius,SIMPLE_NAME, line no: 515, 0.6461538461538462, 0.6153846153846154, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,safeSqrt,SIMPLE_NAME, line no: 517, 0.6461538461538462, 0.6461538461538462, 1.0
abs,SIMPLE_NAME, line no: 443,w2,SIMPLE_NAME, line no: 500, 0.6412213740458015, 0.6106870229007634, 1.0
abs,SIMPLE_NAME, line no: 443,h2,SIMPLE_NAME, line no: 500, 0.6412213740458015, 0.6106870229007634, 1.0
abs,SIMPLE_NAME, line no: 443,radius,SIMPLE_NAME, line no: 515, 0.6412213740458015, 0.6106870229007634, 1.0
abs,SIMPLE_NAME, line no: 443,safeSqrt,SIMPLE_NAME, line no: 517, 0.6412213740458015, 0.6412213740458015, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,w2,SIMPLE_NAME, line no: 500, 0.6412213740458015, 0.6106870229007634, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,h2,SIMPLE_NAME, line no: 500, 0.6412213740458015, 0.6106870229007634, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,radius,SIMPLE_NAME, line no: 515, 0.6412213740458015, 0.6106870229007634, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,safeSqrt,SIMPLE_NAME, line no: 517, 0.6412213740458015, 0.6412213740458015, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,inertia,SIMPLE_NAME, line no: 510, 0.6384615384615384, 0.6153846153846154, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,pow2,SIMPLE_NAME, line no: 517, 0.6384615384615384, 0.6384615384615384, 1.0
0.00001,NUMBER_LITERAL, line no: 443,w2,SIMPLE_NAME, line no: 500, 0.6384615384615384, 0.6076923076923076, 1.0
0.00001,NUMBER_LITERAL, line no: 443,h2,SIMPLE_NAME, line no: 500, 0.6384615384615384, 0.6076923076923076, 1.0
0.00001,NUMBER_LITERAL, line no: 443,radius,SIMPLE_NAME, line no: 515, 0.6384615384615384, 0.6076923076923076, 1.0
0.00001,NUMBER_LITERAL, line no: 443,safeSqrt,SIMPLE_NAME, line no: 517, 0.6384615384615384, 0.6384615384615384, 1.0
y0,SIMPLE_NAME, line no: 443,w2,SIMPLE_NAME, line no: 500, 0.6363636363636364, 0.6060606060606061, 1.0
y0,SIMPLE_NAME, line no: 443,h2,SIMPLE_NAME, line no: 500, 0.6363636363636364, 0.6060606060606061, 1.0
y0,SIMPLE_NAME, line no: 443,radius,SIMPLE_NAME, line no: 515, 0.6363636363636364, 0.6060606060606061, 1.0
y0,SIMPLE_NAME, line no: 443,safeSqrt,SIMPLE_NAME, line no: 517, 0.6363636363636364, 0.6363636363636364, 1.0
y1,SIMPLE_NAME, line no: 443,w2,SIMPLE_NAME, line no: 500, 0.6363636363636364, 0.6060606060606061, 1.0
y1,SIMPLE_NAME, line no: 443,h2,SIMPLE_NAME, line no: 500, 0.6363636363636364, 0.6060606060606061, 1.0
y1,SIMPLE_NAME, line no: 443,radius,SIMPLE_NAME, line no: 515, 0.6363636363636364, 0.6060606060606061, 1.0
y1,SIMPLE_NAME, line no: 443,safeSqrt,SIMPLE_NAME, line no: 517, 0.6363636363636364, 0.6363636363636364, 1.0
abs,SIMPLE_NAME, line no: 443,inertia,SIMPLE_NAME, line no: 510, 0.6335877862595419, 0.6106870229007634, 1.0
abs,SIMPLE_NAME, line no: 443,2 * w2,INFIX_EXPRESSION, line no: 510, 0.6335877862595419, 0.6335877862595419, 1.0
abs,SIMPLE_NAME, line no: 443,pow2,SIMPLE_NAME, line no: 517, 0.6335877862595419, 0.6335877862595419, 1.0
abs,SIMPLE_NAME, line no: 443,MathUtil.safeSqrt(h2) + radius,INFIX_EXPRESSION, line no: 517, 0.6335877862595419, 0.6335877862595419, 1.0
abs,SIMPLE_NAME, line no: 443,MathUtil.safeSqrt(h2),METHOD_INVOCATION, line no: 517, 0.6335877862595419, 0.6335877862595419, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,inertia,SIMPLE_NAME, line no: 510, 0.6335877862595419, 0.6106870229007634, 1.0
y0 - y1,INFIX_EXPRESSION, line no: 443,pow2,SIMPLE_NAME, line no: 517, 0.6335877862595419, 0.6335877862595419, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,getTabHeight,SIMPLE_NAME, line no: 267, 0.6307692307692307, 0.007692307692307693, 1.0
Math.abs(y0 - y1),METHOD_INVOCATION, line no: 443,getTabLength,SIMPLE_NAME, line no: 280, 0.6307692307692307, 0.007692307692307693, 1.0
0.00001,NUMBER_LITERAL, line no: 443,inertia,SIMPLE_NAME, line no: 510, 0.6307692307692307, 0.6076923076923076, 1.0
0.00001,NUMBER_LITERAL, line no: 443,pow2,SIMPLE_NAME, line no: 517, 0.6307692307692307, 0.6307692307692307, 1.0
y0,SIMPLE_NAME, line no: 443,inertia,SIMPLE_NAME, line no: 510, 0.6287878787878788, 0.6060606060606061, 1.0
y0,SIMPLE_NAME, line no: 443,2 * w2,INFIX_EXPRESSION, line no: 510, 0.6287878787878788, 0.6287878787878788, 1.0
y0,SIMPLE_NAME, line no: 443,pow2,SIMPLE_NAME, line no: 517, 0.6287878787878788, 0.6287878787878788, 1.0
y0,SIMPLE_NAME, line no: 443,MathUtil.safeSqrt(h2) + radius,INFIX_EXPRESSION, line no: 517, 0.6287878787878788, 0.6287878787878788, 1.0
y0,SIMPLE_NAME, line no: 443,MathUtil.safeSqrt(h2),METHOD_INVOCATION, line no: 517, 0.6287878787878788, 0.6287878787878788, 1.0
y1,SIMPLE_NAME, line no: 443,inertia,SIMPLE_NAME, line no: 510, 0.6287878787878788, 0.6060606060606061, 1.0
y1,SIMPLE_NAME, line no: 443,2 * w2,INFIX_EXPRESSION, line no: 510, 0.6287878787878788, 0.6287878787878788, 1.0
y1,SIMPLE_NAME, line no: 443,pow2,SIMPLE_NAME, line no: 517, 0.6287878787878788, 0.6287878787878788, 1.0
y1,SIMPLE_NAME, line no: 443,MathUtil.safeSqrt(h2) + radius,INFIX_EXPRESSION, line no: 517, 0.6287878787878788, 0.6287878787878788, 1.0
