new LiteralValueSource(fp.getString()),CLASS_INSTANCE_CREATION, line no: 107,LiteralValueSource,SIMPLE_NAME, line no: 107, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"exp",STRING_LITERAL, line no: 398, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"sin",STRING_LITERAL, line no: 404, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"cos",STRING_LITERAL, line no: 410, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"tan",STRING_LITERAL, line no: 416, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"asin",STRING_LITERAL, line no: 422, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"acos",STRING_LITERAL, line no: 428, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"atan",STRING_LITERAL, line no: 434, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"sinh",STRING_LITERAL, line no: 440, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"cosh",STRING_LITERAL, line no: 446, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"tanh",STRING_LITERAL, line no: 452, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"ceil",STRING_LITERAL, line no: 458, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"floor",STRING_LITERAL, line no: 464, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"rint",STRING_LITERAL, line no: 470, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"pow",STRING_LITERAL, line no: 476, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"hypot",STRING_LITERAL, line no: 482, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"atan2",STRING_LITERAL, line no: 488, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"max",STRING_LITERAL, line no: 494, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"min",STRING_LITERAL, line no: 501, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"sqedist",STRING_LITERAL, line no: 508, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"dist",STRING_LITERAL, line no: 518, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"ms",STRING_LITERAL, line no: 527, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"pi",STRING_LITERAL, line no: 530, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"e",STRING_LITERAL, line no: 536, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"docfreq",STRING_LITERAL, line no: 544, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"totaltermfreq",STRING_LITERAL, line no: 552, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"ttf",STRING_LITERAL, line no: 559, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"sumtotaltermfreq",STRING_LITERAL, line no: 561, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"sttf",STRING_LITERAL, line no: 568, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"idf",STRING_LITERAL, line no: 570, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"termfreq",STRING_LITERAL, line no: 578, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"tf",STRING_LITERAL, line no: 586, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"norm",STRING_LITERAL, line no: 594, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"maxdoc",STRING_LITERAL, line no: 602, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"numdocs",STRING_LITERAL, line no: 609, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"true",STRING_LITERAL, line no: 616, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"false",STRING_LITERAL, line no: 623, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"exists",STRING_LITERAL, line no: 630, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"not",STRING_LITERAL, line no: 647, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"and",STRING_LITERAL, line no: 665, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"or",STRING_LITERAL, line no: 684, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"xor",STRING_LITERAL, line no: 703, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"if",STRING_LITERAL, line no: 725, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"def",STRING_LITERAL, line no: 736, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,"NOW",STRING_LITERAL, line no: 841, 1.0, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,first,SIMPLE_NAME, line no: 858, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,second,SIMPLE_NAME, line no: 859, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,first="NOW",ASSIGNMENT, line no: 860, 1.0, 1.0, 1.0
getString,SIMPLE_NAME, line no: 107,field,SIMPLE_NAME, line no: 100, 0.9, 0.7, 1.0
getString,SIMPLE_NAME, line no: 107,fp.getString(),METHOD_INVOCATION, line no: 107, 0.9, 0.9, 1.0
getString,SIMPLE_NAME, line no: 107,distClass,SIMPLE_NAME, line no: 333, 0.9, 0.9, 1.0
getString,SIMPLE_NAME, line no: 107,"jw",STRING_LITERAL, line no: 336, 0.9, 0.9, 1.0
getString,SIMPLE_NAME, line no: 107,"edit",STRING_LITERAL, line no: 338, 0.9, 0.9, 1.0
getString,SIMPLE_NAME, line no: 107,"ngram",STRING_LITERAL, line no: 340, 0.9, 0.9, 1.0
getString,SIMPLE_NAME, line no: 107,tinfo.field,QUALIFIED_NAME, line no: 548, 0.9, 0.9, 1.0
getString,SIMPLE_NAME, line no: 107,tinfo.val,QUALIFIED_NAME, line no: 548, 0.9, 0.9, 1.0
getString,SIMPLE_NAME, line no: 107,val,SIMPLE_NAME, line no: 548, 0.9, 0.9, 1.0
getString,SIMPLE_NAME, line no: 107,tinfo.indexedField,QUALIFIED_NAME, line no: 548, 0.9, 0.9, 1.0
getString,SIMPLE_NAME, line no: 107,indexedField,SIMPLE_NAME, line no: 548, 0.9, 0.9, 1.0
getString,SIMPLE_NAME, line no: 107,tinfo.indexedField=tinfo.field=fp.parseArg(),ASSIGNMENT, line no: 748, 0.9, 0.9, 1.0
getString,SIMPLE_NAME, line no: 107,tinfo.field=fp.parseArg(),ASSIGNMENT, line no: 748, 0.9, 0.9, 1.0
getString,SIMPLE_NAME, line no: 107,tinfo.val=fp.parseArg(),ASSIGNMENT, line no: 749, 0.9, 0.9, 1.0
getString,SIMPLE_NAME, line no: 107,arg,SIMPLE_NAME, line no: 839, 0.9, 0.1, 1.0
getString,SIMPLE_NAME, line no: 107,toString,SIMPLE_NAME, line no: 979, 0.9, 0.8, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,field,SIMPLE_NAME, line no: 100, 0.8888888888888888, 0.6666666666666666, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,distClass,SIMPLE_NAME, line no: 333, 0.8888888888888888, 0.8888888888888888, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,val,SIMPLE_NAME, line no: 548, 0.8888888888888888, 0.8888888888888888, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,indexedField,SIMPLE_NAME, line no: 548, 0.8888888888888888, 0.8888888888888888, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,arg,SIMPLE_NAME, line no: 839, 0.8888888888888888, 0.1111111111111111, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,toString,SIMPLE_NAME, line no: 979, 0.8888888888888888, 0.7777777777777778, 1.0
LiteralValueSource,SIMPLE_NAME, line no: 107,new LiteralValueSource(fp.getString()),CLASS_INSTANCE_CREATION, line no: 107, 0.8, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,p.name(),METHOD_INVOCATION, line no: 82, 0.8, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,fp.parseId(),METHOD_INVOCATION, line no: 100, 0.8, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,parseId,SIMPLE_NAME, line no: 100, 0.8, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,description,SIMPLE_NAME, line no: 951, 0.8, 0.1, 1.0
getString,SIMPLE_NAME, line no: 107,")",STRING_LITERAL, line no: 952, 0.8, 0.3, 1.0
getString,SIMPLE_NAME, line no: 107,name() + '(' + vals.toString(doc)+ ')',INFIX_EXPRESSION, line no: 1072, 0.8, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,name(),METHOD_INVOCATION, line no: 1072, 0.8, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,vals.toString(doc),METHOD_INVOCATION, line no: 1072, 0.8, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,name() + "(" + a.description()+ " "+ b.description()+ ")",INFIX_EXPRESSION, line no: 1107, 0.8, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,"(",STRING_LITERAL, line no: 1107, 0.8, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,a.description(),METHOD_INVOCATION, line no: 1107, 0.8, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107," ",STRING_LITERAL, line no: 1107, 0.8, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,b.description(),METHOD_INVOCATION, line no: 1107, 0.8, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,name() + '(' + aVals.toString(doc)+ ' '+ bVals.toString(doc)+ ')',INFIX_EXPRESSION, line no: 1121, 0.8, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,aVals.toString(doc),METHOD_INVOCATION, line no: 1121, 0.8, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,bVals.toString(doc),METHOD_INVOCATION, line no: 1121, 0.8, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,"testfunc: unweighted value source detected.  delegate=" + source + " request="+ (requestInfo == null ? "null" : requestInfo.getReq()),INFIX_EXPRESSION, line no: 1229, 0.8, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,"testfunc: unweighted value source detected.  delegate=",STRING_LITERAL, line no: 1229, 0.8, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107," request=",STRING_LITERAL, line no: 1229, 0.8, 0.8, 1.0
getString,SIMPLE_NAME, line no: 107,"null",STRING_LITERAL, line no: 1229, 0.8, 0.8, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,parseId,SIMPLE_NAME, line no: 100, 0.7777777777777778, 0.7777777777777778, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,description,SIMPLE_NAME, line no: 951, 0.7777777777777778, 0.1111111111111111, 1.0
getString,SIMPLE_NAME, line no: 107,fieldName,SIMPLE_NAME, line no: 356, 0.7, 0.7, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,fieldName,SIMPLE_NAME, line no: 356, 0.6666666666666666, 0.6666666666666666, 1.0
getString,SIMPLE_NAME, line no: 107,source,SIMPLE_NAME, line no: 85, 0.6, 0.1, 1.0
getString,SIMPLE_NAME, line no: 107,dest,SIMPLE_NAME, line no: 85, 0.6, 0.1, 1.0
getString,SIMPLE_NAME, line no: 107,"Input must either be 2 MultiValueSources  or there must be 4 ValueSources",STRING_LITERAL, line no: 297, 0.6, 0.6, 1.0
getString,SIMPLE_NAME, line no: 107,indexedVal,SIMPLE_NAME, line no: 757, 0.6, 0.6, 1.0
getString,SIMPLE_NAME, line no: 107,tinfo.indexedField=term.field(),ASSIGNMENT, line no: 761, 0.6, 0.6, 1.0
getString,SIMPLE_NAME, line no: 107,term.field(),METHOD_INVOCATION, line no: 761, 0.6, 0.6, 1.0
getString,SIMPLE_NAME, line no: 107,indexedVal=term.text(),ASSIGNMENT, line no: 762, 0.6, 0.6, 1.0
getString,SIMPLE_NAME, line no: 107,term.text(),METHOD_INVOCATION, line no: 762, 0.6, 0.6, 1.0
getString,SIMPLE_NAME, line no: 107,text,SIMPLE_NAME, line no: 762, 0.6, 0.6, 1.0
getString,SIMPLE_NAME, line no: 107,"Illegal number of sources.  There must be an even number of sources",STRING_LITERAL, line no: 786, 0.6, 0.6, 1.0
getString,SIMPLE_NAME, line no: 107,"Can't use ms() function on non-numeric legacy date field " + arg,INFIX_EXPRESSION, line no: 851, 0.6, 0.6, 1.0
getString,SIMPLE_NAME, line no: 107,"Can't use ms() function on non-numeric legacy date field ",STRING_LITERAL, line no: 851, 0.6, 0.6, 1.0
getString,SIMPLE_NAME, line no: 107,DoubleParser.this.name(),METHOD_INVOCATION, line no: 1059, 0.6, 0.6, 1.0
getString,SIMPLE_NAME, line no: 107,source.description(),METHOD_INVOCATION, line no: 1246, 0.6, 0.6, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,source,SIMPLE_NAME, line no: 85, 0.5555555555555556, 0.1111111111111111, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,dest,SIMPLE_NAME, line no: 85, 0.5555555555555556, 0.1111111111111111, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,indexedVal,SIMPLE_NAME, line no: 757, 0.5555555555555556, 0.5555555555555556, 1.0
fp.getString(),METHOD_INVOCATION, line no: 107,text,SIMPLE_NAME, line no: 762, 0.5555555555555556, 0.5555555555555556, 1.0
getString,SIMPLE_NAME, line no: 107,description(),METHOD_INVOCATION, line no: 980, 0.5, 0.5, 1.0
getString,SIMPLE_NAME, line no: 107,"testfunc(" + source.description() + ')',INFIX_EXPRESSION, line no: 1246, 0.5, 0.5, 1.0
getString,SIMPLE_NAME, line no: 107,"testfunc(",STRING_LITERAL, line no: 1246, 0.5, 0.5, 1.0
getString,SIMPLE_NAME, line no: 107,"const(" + constant + ")",INFIX_EXPRESSION, line no: 952, 0.3, 0.3, 1.0
getString,SIMPLE_NAME, line no: 107,"const(",STRING_LITERAL, line no: 952, 0.3, 0.3, 1.0
getString,SIMPLE_NAME, line no: 107,this.name=name,ASSIGNMENT, line no: 1032, 0.2, 0.2, 1.0
getString,SIMPLE_NAME, line no: 107,this.name,FIELD_ACCESS, line no: 1032, 0.2, 0.2, 1.0
