region.getStop() > markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,isFinished,SIMPLE_NAME, line no: 267, 2.0, 0.22929936305732485, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,stop,SIMPLE_NAME, line no: 363, 1.9937106918238994, 0.006289308176100629, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 395, 1.9937106918238994, 0.24528301886792453, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,stopPerformed,SIMPLE_NAME, line no: 728, 1.9937106918238994, 0.12578616352201258, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881, 1.9937106918238994, 0.9937106918238994, 1.0
markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 881,getLocation,SIMPLE_NAME, line no: 125, 1.9937106918238994, 0.07547169811320754, 1.0
markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 881,getStartLocation,SIMPLE_NAME, line no: 136, 1.9937106918238994, 0.006289308176100629, 1.0
markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 881,windowHeaderStart,SIMPLE_NAME, line no: 229, 1.9937106918238994, 0.4339622641509434, 1.0
markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 881,getStop,SIMPLE_NAME, line no: 270, 1.9937106918238994, 0.24528301886792453, 1.0
markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 881,stop,SIMPLE_NAME, line no: 363, 1.9937106918238994, 0.006289308176100629, 1.0
markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 881,size,SIMPLE_NAME, line no: 431, 1.9937106918238994, 0.6477987421383647, 1.0
markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 881,stopPerformed,SIMPLE_NAME, line no: 728, 1.9937106918238994, 0.12578616352201258, 1.0
markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 881,getStart,SIMPLE_NAME, line no: 876, 1.9937106918238994, 0.9937106918238994, 1.0
markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 881,markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881, 1.9937106918238994, 0.9937106918238994, 1.0
markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 881,markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881, 1.9937106918238994, 0.9937106918238994, 1.0
markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 881,numInsertionsToTheRight,SIMPLE_NAME, line no: 924, 1.9937106918238994, 0.9937106918238994, 1.0
region.getStop(),METHOD_INVOCATION, line no: 881,length,SIMPLE_NAME, line no: 329, 1.9936708860759493, 0.5189873417721519, 1.0
region.getStop(),METHOD_INVOCATION, line no: 881,stop,SIMPLE_NAME, line no: 363, 1.9936708860759493, 0.006329113924050633, 1.0
region.getStop(),METHOD_INVOCATION, line no: 881,stopPerformed,SIMPLE_NAME, line no: 728, 1.9936708860759493, 0.12658227848101267, 1.0
markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,region.getStop() > markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881, 1.9936708860759493, 0.9936708860759493, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,0,NUMBER_LITERAL, line no: 184, 1.9875, 0.4875, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 395, 1.9875, 0.24375, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881, 1.9875, 0.9875, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,closeVariantRegionResult.stopPerformed,QUALIFIED_NAME, line no: 888, 1.9875, 0.9875, 1.0
markedSites.getVariantSiteBitSet(),METHOD_INVOCATION, line no: 881,markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881, 1.9875, 0.9875, 1.0
length,SIMPLE_NAME, line no: 881,0,NUMBER_LITERAL, line no: 184, 1.9875, 0.49375, 1.0
length,SIMPLE_NAME, line no: 881,markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881, 1.9875, 0.9875, 1.0
length,SIMPLE_NAME, line no: 881,markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881, 1.9875, 0.9875, 1.0
length,SIMPLE_NAME, line no: 881,closeVariantRegionResult.stopPerformed,QUALIFIED_NAME, line no: 888, 1.9875, 0.9875, 1.0
getStop,SIMPLE_NAME, line no: 881,0,NUMBER_LITERAL, line no: 184, 1.9874213836477987, 0.49056603773584906, 1.0
getStop,SIMPLE_NAME, line no: 881,markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 395, 1.9874213836477987, 0.24528301886792453, 1.0
getStop,SIMPLE_NAME, line no: 881,start,SIMPLE_NAME, line no: 424, 1.9874213836477987, 0.006289308176100629, 1.0
getStop,SIMPLE_NAME, line no: 881,markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881, 1.9874213836477987, 0.9874213836477987, 1.0
getStop,SIMPLE_NAME, line no: 881,closeVariantRegionResult.stopPerformed,QUALIFIED_NAME, line no: 888, 1.9874213836477987, 0.9874213836477987, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,region.getStop() > markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881, 1.9874213836477987, 0.9874213836477987, 1.0
markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 881,region.getStop() > markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881, 1.9874213836477987, 0.9874213836477987, 1.0
region.getStop(),METHOD_INVOCATION, line no: 881,start,SIMPLE_NAME, line no: 424, 1.9873417721518987, 0.006329113924050633, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,start,SIMPLE_NAME, line no: 424, 1.98125, 0.00625, 1.0
markedSites.getVariantSiteBitSet(),METHOD_INVOCATION, line no: 881,region.getStop() > markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881, 1.98125, 0.98125, 1.0
getStop,SIMPLE_NAME, line no: 881,region.getStart() - windowHeaderStart,INFIX_EXPRESSION, line no: 877, 1.9811320754716981, 0.9811320754716981, 1.0
getStop,SIMPLE_NAME, line no: 881,region.getStop() - windowHeaderStart,INFIX_EXPRESSION, line no: 878, 1.9811320754716981, 0.9811320754716981, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,start,SIMPLE_NAME, line no: 424, 1.9811320754716981, 0.006289308176100629, 1.0
markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,start,SIMPLE_NAME, line no: 424, 1.981012658227848, 0.006329113924050633, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,region.getStart() - windowHeaderStart,INFIX_EXPRESSION, line no: 877, 1.975, 0.975, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,region.getStop() - windowHeaderStart,INFIX_EXPRESSION, line no: 878, 1.975, 0.975, 1.0
length,SIMPLE_NAME, line no: 881,start,SIMPLE_NAME, line no: 424, 1.975, 0.00625, 1.0
length,SIMPLE_NAME, line no: 881,region.getStart() - windowHeaderStart,INFIX_EXPRESSION, line no: 877, 1.975, 0.975, 1.0
length,SIMPLE_NAME, line no: 881,region.getStop() - windowHeaderStart,INFIX_EXPRESSION, line no: 878, 1.975, 0.975, 1.0
markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 881,start,SIMPLE_NAME, line no: 424, 1.9748427672955975, 0.006289308176100629, 1.0
getStop,SIMPLE_NAME, line no: 881,1,NUMBER_LITERAL, line no: 125, 1.9056603773584906, 0.06918238993710692, 1.0
getStop,SIMPLE_NAME, line no: 881,locationIndex,SIMPLE_NAME, line no: 1153, 1.9056603773584906, 0.34591194968553457, 1.0
region.getStop(),METHOD_INVOCATION, line no: 881,locationIndex,SIMPLE_NAME, line no: 1153, 1.9050632911392404, 0.34810126582278483, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,1,NUMBER_LITERAL, line no: 125, 1.9, 0.06875, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,locationIndex,SIMPLE_NAME, line no: 1153, 1.9, 0.34375, 1.0
getStop,SIMPLE_NAME, line no: 881,i,SIMPLE_NAME, line no: 231, 1.89937106918239, 0.44654088050314467, 1.0
getStop,SIMPLE_NAME, line no: 881,startIndex,SIMPLE_NAME, line no: 1175, 1.89937106918239, 0.006289308176100629, 1.0
getStop,SIMPLE_NAME, line no: 881,readBaseIndex,SIMPLE_NAME, line no: 1228, 1.89937106918239, 0.89937106918239, 1.0
getStop,SIMPLE_NAME, line no: 881,locationIndex - 1,INFIX_EXPRESSION, line no: 1243, 1.89937106918239, 0.89937106918239, 1.0
getStop,SIMPLE_NAME, line no: 881,nDeletionBases,SIMPLE_NAME, line no: 1253, 1.89937106918239, 0.8930817610062893, 1.0
getStop,SIMPLE_NAME, line no: 881,nBasesToAdd,SIMPLE_NAME, line no: 1268, 1.89937106918239, 0.8930817610062893, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,locationIndex,SIMPLE_NAME, line no: 1153, 1.89937106918239, 0.34591194968553457, 1.0
region.getStop(),METHOD_INVOCATION, line no: 881,i,SIMPLE_NAME, line no: 231, 1.8987341772151898, 0.44936708860759494, 1.0
region.getStop(),METHOD_INVOCATION, line no: 881,startIndex,SIMPLE_NAME, line no: 1175, 1.8987341772151898, 0.006329113924050633, 1.0
region.getStop(),METHOD_INVOCATION, line no: 881,readBaseIndex,SIMPLE_NAME, line no: 1228, 1.8987341772151898, 0.8987341772151899, 1.0
region.getStop(),METHOD_INVOCATION, line no: 881,nDeletionBases,SIMPLE_NAME, line no: 1253, 1.8987341772151898, 0.8924050632911392, 1.0
region.getStop(),METHOD_INVOCATION, line no: 881,nBasesToAdd,SIMPLE_NAME, line no: 1268, 1.8987341772151898, 0.8924050632911392, 1.0
markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,locationIndex,SIMPLE_NAME, line no: 1153, 1.8987341772151898, 0.34810126582278483, 1.0
region.getStop() > markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,removeRead,SIMPLE_NAME, line no: 1150, 1.8980891719745223, 0.006369426751592357, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,i,SIMPLE_NAME, line no: 231, 1.89375, 0.44375, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,startIndex,SIMPLE_NAME, line no: 1175, 1.89375, 0.00625, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,readBaseIndex,SIMPLE_NAME, line no: 1228, 1.89375, 0.89375, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,locationIndex - 1,INFIX_EXPRESSION, line no: 1243, 1.89375, 0.89375, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,nDeletionBases,SIMPLE_NAME, line no: 1253, 1.89375, 0.8875, 1.0
getStartLocation,SIMPLE_NAME, line no: 881,nBasesToAdd,SIMPLE_NAME, line no: 1268, 1.89375, 0.8875, 1.0
length,SIMPLE_NAME, line no: 881,1,NUMBER_LITERAL, line no: 125, 1.89375, 0.06875, 1.0
length,SIMPLE_NAME, line no: 881,locationIndex,SIMPLE_NAME, line no: 1153, 1.89375, 0.34375, 1.0
getStop,SIMPLE_NAME, line no: 881,i++,POSTFIX_EXPRESSION, line no: 231, 1.8930817610062893, 0.44025157232704404, 1.0
getStop,SIMPLE_NAME, line no: 881,int i=0,VARIABLE_DECLARATION_EXPRESSION, line no: 900, 1.8930817610062893, 0.29559748427672955, 1.0
getStop,SIMPLE_NAME, line no: 881,locationIndex+=nDeletionBases,ASSIGNMENT, line no: 1261, 1.8930817610062893, 0.8930817610062893, 1.0
getStop,SIMPLE_NAME, line no: 881,locationIndex+=nBasesToAdd,ASSIGNMENT, line no: 1288, 1.8930817610062893, 0.8930817610062893, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,i,SIMPLE_NAME, line no: 231, 1.8930817610062893, 0.44654088050314467, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,startIndex,SIMPLE_NAME, line no: 1175, 1.8930817610062893, 0.006289308176100629, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,readBaseIndex,SIMPLE_NAME, line no: 1228, 1.8930817610062893, 0.8930817610062893, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,nDeletionBases,SIMPLE_NAME, line no: 1253, 1.8930817610062893, 0.8867924528301887, 1.0
markedSites.getStartLocation(),METHOD_INVOCATION, line no: 881,nBasesToAdd,SIMPLE_NAME, line no: 1268, 1.8930817610062893, 0.8867924528301887, 1.0
markedSites.getVariantSiteBitSet().length,FIELD_ACCESS, line no: 881,locationIndex,SIMPLE_NAME, line no: 1153, 1.8930817610062893, 0.34591194968553457, 1.0
markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,i,SIMPLE_NAME, line no: 231, 1.8924050632911391, 0.44936708860759494, 1.0
markedSites.getStartLocation() + markedSites.getVariantSiteBitSet().length,INFIX_EXPRESSION, line no: 881,startIndex,SIMPLE_NAME, line no: 1175, 1.8924050632911391, 0.006329113924050633, 1.0
